C3降低,C3降低、C3、肝病科、肾病、肝炎肝病、风湿疾病、免疫功能
血小板分布宽度增高,血小板分布宽度增高、血小板体积分布宽度、PDW、PDW、血液科、慢性粒细胞白血病、髓细胞白血病、慢性白血病、急性早幼粒细胞白血病、血液病
血小板压积增高,血小板压积增高、血小板比积、PCT、PCT、血液科
血小板压积降低,血小板压积降低、血小板比积、PCT、PCT、血液科
血小板计数增高,血小板计数增高、PLT、PLT、血液科、血小板增多症、前房积血与青光眼、继发性血小板增多症、老年人骨髓增生异常综合征、血液病
血小板计数降低,血小板计数降低、PLT、PLT、血液科、血管炎、恶性肿瘤所致贫血、输血后血小板减少性紫癜、新生儿出血症、血液病
血沉偏高,血沉偏高、红细胞沉降率、ESR、ESR、血液科、风湿疾病、肿瘤、肾病
血流变异常,血流变异常、血液科
血清乳酸脱氢酶增高,血清乳酸脱氢酶增高、消化内科、血液病
血清乳酸脱氢酶降低,血清乳酸脱氢酶降低、内分泌科、血液病
血清低密度脂蛋白增高,血清低密度脂蛋白增高、血清LDL-C、LDL-C、内分泌科、心脑血管科、家族性混合型高脂血症、家族性异常β脂蛋白血症、家族性高胆固醇血症、高脂蛋白血症Ⅱ型、心脏病、血脂及脂蛋白
血清低密度脂蛋白降低,血清低密度脂蛋白降低、血清LDL-C、LDL-C、内分泌科、心脑血管科、心脏病、血脂及脂蛋白
血清促甲状腺激素增高,血清促甲状腺激素增高、血清TSH、TSH、内分泌科、甲状腺炎、甲状腺相关眼病、甲状腺功能亢进性心肌病、甲状腺功能亢进症的肾损害、甲状腺功能、激素
血清促甲状腺激素降低,血清促甲状腺激素降低、血清TSH、TSH、内分泌科、闭经溢乳综合征、男性青春期发育延迟、亚临床甲状腺功能减退症、老年人甲状腺功能亢进症、甲状腺功能、激素
血清免疫球蛋白IgA增高,血清免疫球蛋白IgA增高、血清IgA、IgA、体检保健科、传染科、强直性脊柱炎性巩膜炎、过敏性紫癜肾炎、IgA肾病、表皮内嗜中性IgA皮肤病、血液病、检验
血清免疫球蛋白IgA降低,血清免疫球蛋白IgA降低、血清IgA、IgA、体检保健科、传染科、毛细血管扩张性共济失调综合征、抗体免疫缺陷病、家族性地中海热、复发性皮肤坏死性嗜酸粒细胞血管炎、血液病、检验
血清免疫球蛋白IgG增高,血清免疫球蛋白IgG增高、血清IgG、IgG、体检保健科、传染科、血液病、免疫功能
血清免疫球蛋白IgG降低,血清免疫球蛋白IgG降低、血清IgG、IgG、体检保健科、传染科、血液病、免疫功能
血清免疫球蛋白IgM增高,血清免疫球蛋白IgM增高、血清IgM、IgM、传染科、体检保健科、血液病、免疫功能
血清免疫球蛋白IgM降低,血清免疫球蛋白IgM降低、血清IgM、IgM、传染科、体检保健科、血液病、免疫功能
血清尿酸增高,血清尿酸增高、肾内科、抗利尿激素分泌异常综合征、老年人原发性血小板增多症、痛风、骨髓纤维化、肾病、糖及其代谢物
血清尿酸降低,血清尿酸降低、肾内科、小儿白血病、急性骨髓性白血病、肾病、糖及其代谢物
血清岩藻糖苷酶测定增高,血清岩藻糖苷酶测定增高、血清α-L-岩藻糖苷酶 、α-L、消化内科、肿瘤科、肝细胞癌
血清总IgE增高,血清总IgE增高、血清IgE、IgE、体检保健科、血液病、免疫功能
血清总胆固醇增高,血清总胆固醇增高、血液科、动脉硬化、糖尿病、肾病
血清总胆固醇降低,血清总胆固醇降低、血液科、动脉硬化、糖尿病、肾病
血清总胆红素增高,血清总胆红素增高、血清TBIL、血清STB、TBIL STB、肝胆外科、胆石、成人T细胞白血病、α1抗胰蛋白酶缺乏性肝病、肝淀粉样变性、肝炎肝病、肝病的实验诊断
血清总胆红素降低,血清总胆红素降低、血清TBIL、血清STB、TBIL STB、肝胆外科、镍中毒、妊娠合并病毒性肝炎、乏特壶腹周围癌、肝炎肝病、肝病的实验诊断
血清总蛋白增高,血清总蛋白增高、STP、血液科、大量出汗、多发性骨髓瘤、腹泻、巨球蛋白血症、严重呕吐、中毒
血清总蛋白降低,血清总蛋白降低、STP、血液科
血清氯增高,血清氯增高、血清Cl-、血清Cl、Cl- Cl、肾内科、肾炎、急性肾炎、尿路梗阻、呼吸性碱中毒、肾病、无机元素
血清氯降低,血清氯降低、血清Cl-、血清Cl、Cl- Cl、肾内科、心力衰竭、失盐性肾炎、拉肚子、慢性肾炎、肾病、无机元素
血清游离甲状腺素增高,血清游离甲状腺素增高、血清游离甲状腺素、FT4、内分泌科、结节性甲状腺肿、老年人甲亢性心脏病、甲亢合并妊娠、老年人甲状腺功能亢进症、甲状腺功能、激素
血清游离甲状腺素降低,血清游离甲状腺素降低、血清游离甲状腺素、FT4、内分泌科、上巩膜静脉压升高所致青光眼、甲状腺结核、女性性早熟、亚临床甲状腺功能减退症、甲状腺功能、激素
血清甘油三酯增高,血清甘油三酯增高、血清三酰甘油、血清TG、TG、肝胆内科、内分泌科、糖尿病、肾皮质髓质脓肿、冠状动脉粥样硬化性心脏病、老年人脑血栓形成、动脉硬化、糖尿病、肾病、心脏病、血脂及脂蛋白
血清甘油三酯降低,血清甘油三酯降低、血清三酰甘油、血清TG、TG、内分泌科、甲状腺钙化、甲状腺囊肿、甲状腺炎、动脉硬化、糖尿病、肾病、心脏病、血脂及脂蛋白
血清白/球比值增高,血清白/球比值增高、血清白蛋白与球蛋白比值增高、A/G、肝胆科、低球蛋白血症、先天性无γ球蛋白血症
血清白/球比值降低,血清白/球比值降低、血清白/球比值、血清A/G、A/G、肾内科、肝炎、肝病科、肝炎肝病、蛋白质
血清白蛋白增高,血清白蛋白增高、血清清蛋白、血清Alb、Alb、肝病科、肝胆外科、肾内科、肝炎、急诊科、抗利尿激素分泌异常综合征、肝炎肝病、肾病、蛋白质
血清白蛋白降低,血清白蛋白降低、血清清蛋白、血清Alb、Alb、肝病科、肝胆外科、肾内科、肝炎、急诊科、乳糜泻、皮肤淋巴肉芽肿病、老年人尿失禁、小儿肾病综合征、肝炎肝病、肾病、蛋白质
血清碱性磷酸酶增高,血清碱性磷酸酶增高、血清ALP、ALP、感染科、骨科、肝炎肝病
血清碱性磷酸酶降低,血清碱性磷酸酶降低、血清ALP、ALP、肝胆内科、骨科、肝炎肝病
血清磷增高,血清磷增高、血清Pi、Pi、内分泌科、甲状旁腺功能减退症、多发性骨髓瘤、白血病、淋巴瘤、无机元素
血清磷降低,血清磷降低、血清Pi、Pi、内分泌科、甲状旁腺功能亢进症、佝偻病、糖尿病、无机元素
血清类风湿因子增高,血清类风湿因子增高、血清RF、RF、血液科、内科
血清结合胆红素偏低,血清结合胆红素偏低、血清SDB、血清DBIL、血清直接胆红素、SDB DBIL、肝胆外科、肝炎肝病、肝病的实验诊断
血清结合胆红素偏高,血清结合胆红素偏高、血清SDB、血清DBIL、血清直接胆红素、SDB DBIL、肝胆外科、肝炎肝病、肝病的实验诊断
血清胱抑素C增高,血清胱抑素C增高、C、肾病科
血清胱抑素C降低,血清胱抑素C降低、C、肾病科
血清谷丙转氨酶增高,血清谷丙转氨酶增高、血清丙氨酸氨基转移酶、血清ALT、ALT、肝病科、肝胆外科、急性黄疸型肝炎、肝炎后肝硬化、慢性乙肝、暴发性肝衰竭、肝炎肝病
血清谷丙转氨酶降低,血清谷丙转氨酶降低、血清丙氨酸氨基转移酶、血清ALT、ALT、肝病科、肝胆外科、肝炎肝病
血清谷草转氨酶增高,血清谷草转氨酶增高、血清门冬氨酸氨基转移酶、血清AST、AST、心血管内科、传染科、肝病科、暴发性肝衰竭、进行性肌营养不良症、小儿丘疹性肢皮炎综合征、老年人脂肪肝、肝炎肝病、肝病的实验诊断
血清谷草转氨酶降低,血清谷草转氨酶降低、血清门冬氨酸氨基转移酶、血清AST、AST、心血管内科、传染科、肝病科、肝炎肝病、肝病的实验诊断
血清钙增高,血清钙增高、内科、无机元素
血清钙降低,血清钙降低、内科、无机元素
血清钠增高,血清钠增高、全科、尿崩症、高钠血症、脱水、抽搐、创伤、多尿、高钠血症、昏迷、利尿、尿崩、皮质醇增多、偏瘫、神志不清、肾性尿崩、嗜睡、水肿、水潴留、糖尿、脱水、心力衰竭、血清钠增高 、肾病、胃肠病、无机元素
血清钠降低,血清钠降低、全科、肾病、胃肠病、无机元素
血清钾增高,血清钾增高、血液内科、胃肠病、肾病、无机元素
血清钾降低,血清钾降低、血液内科、胃肠病、肾病、无机元素
血清铁增高,血清铁增高、血清Fe、Fe、血液内科、恶性肿瘤所致贫血、骨髓-胰腺综合征、感染性疾病所致贫血、风湿病性贫血、无机元素
血清铁降低,血清铁降低、血清Fe、Fe、血液内科、老年人缺铁性贫血、妊娠合并缺铁性贫血、小儿营养不良性消瘦、无机元素
血清铜增高,血清铜增高、血清Cu2+、血清Cu、Cu2、Cu、全科、先天性眼球震颤、锥体外系疾病、黄疸、霍奇金淋巴瘤、肝炎肝病、无机元素
血清铜降低,血清铜降低、血清Cu2+、血清Cu、Cu2、Cu、全科、小儿肝豆状核变性、肝豆状核变性伴发的精神障碍、小儿铜缺乏症综合征、小儿神经白塞综合征、肝炎肝病、无机元素
血清镁增高,血清镁增高、消化内科、内分泌科、肾内科、肾病、无机元素
血清镁降低,血清镁降低、消化内科、内分泌科、肾内科、肾病、无机元素
血清高密度脂蛋白增高,血清高密度脂蛋白增高、血清HDL2-C、HDL2-C、血液科、心脏病、糖尿病、肾病、血脂及脂蛋白
血清高密度脂蛋白胆固醇增高,血清高密度脂蛋白胆固醇增高、内分泌科、肝炎肝病、心脏病、血脂及脂蛋白
血清高密度脂蛋白胆固醇降低,血清高密度脂蛋白胆固醇降低、内分泌科、肝炎肝病、心脏病、血脂及脂蛋白
血清高密度脂蛋白降低,血清高密度脂蛋白降低、内分泌科、肝炎肝病、心脏病、血脂及脂蛋白
血管瘤,血管瘤、血管外科、肿瘤科、软骨发育异常、心力衰竭、红斑样皮疹、红斑结节、丘疹、血管痣、血管畸形摄片、血管造影
血管硬化,血管硬化、心血管内科、血厥、动脉硬化、心血管造影血管成像、血管镜、蝰蛇毒复钙时间、血管造影
血红蛋白增高,血红蛋白增高、血液科、血液病
血红蛋白降低,血红蛋白降低、血液科、血液病
血黏度异常,血黏度异常、血液科、体检保健科、血栓闭塞性脉管炎、心肌梗塞、妊娠高血压、糖尿病、尿毒症、贫血、肝硬化、血液病、心脏病
衣原体测定阳性,衣原体测定阳性、腰部、尿液输尿管、泌尿外科
视力欠佳,视力欠佳、头部、眼、眼科
视神经乳头炎,视神经乳头炎、头部、眼、视神经乳头炎、眼科、神经内科、视力障碍、瞳孔异常、光反射消失、视网膜静脉纡曲怒张、对光反射迟钝
视神经乳头生理凹陷扩大,视神经乳头生理凹陷扩大、头部、眼、眼科
视神经萎缩,视神经萎缩、头部、眼、眼科、神经内科、原发性视网膜脱离、视力障碍、视野缩小、视野向心性缩小、视觉诱发电位（VEP）、采用常用计算机自动视野计的中心视野定量阈值程序、头颅或眼部CT、MRI、利用基因检测技术
视网膜动脉硬化,视网膜动脉硬化、视瞻昏渺 暴盲、眼科、老年性黄斑变性、色素紊乱、玻璃膜疣
视网膜有髓神经纤维,视网膜有髓神经纤维、眼科
视网膜渗出,视网膜渗出、棉絮状斑 、眼科、形状不规则、边界模糊、大小不等的棉絮
视网膜色素变性,视网膜色素变性、头部、眼、为毯层视网膜变性视网膜变性、眼科、后极性白内障、青光眼、近视、耳聋、夜盲、视力障碍、中心暗点扩大、病理性近视、眼底、视网膜检影法、眼底荧光血管造影
视网膜血管瘤,视网膜血管瘤、头部、眼、von Hippel病、眼科、肿瘤科、视力不良、遗传学及基因学、眼底荧光血管造影（FFA）
视黄醇结合蛋白偏低,视黄醇结合蛋白偏低、RBP、肾病科、内分泌科、心内科、维生素A缺乏症、低蛋白血症、吸收不良综合征、肝疾病、阻塞性黄疸、甲状腺功能亢进症、感染症、外伤
视黄醇结合蛋白增高,视黄醇结合蛋白增高、RBP、肾病科、内分泌科、心内科、肾功能不全、营养过剩性脂肪肝
角膜上皮脱落,角膜上皮脱落、头部、眼、眼科、皮肤科
角膜云翳,角膜云翳、头部、眼、眼科
角膜后色素沉着,角膜后色素沉着、头部、眼、眼科
角膜新生血管,角膜新生血管、头部、眼、眼科
角膜炎,角膜炎、头部、眼、眼科、化脓性角膜炎、金黄色葡萄球菌性边缘性角膜炎、神经源性角膜炎、棘阿米巴性角膜炎、微小核糖核酸病毒性角膜炎、水痘性角膜炎、带状疱疹性角膜炎、非结核分枝杆菌性角膜炎、铜绿假单胞菌性角膜炎、细菌性角膜炎、浅层点状角膜炎、暴露性角膜炎、畏光及流泪、视力障碍、泪液分泌型免疫球蛋白A、睫状血管法、小儿角膜法
角膜白斑,角膜白斑、头部、眼、眼科
角膜老年环,角膜老年环、头部、眼、眼科、菌性眼内炎、局部抵抗力下降、机体免疫功能失调
许莫氏结节,许莫氏结节、骨、schmorl结节、骨科、外科、腰腿痛
谷氨酰转肽酶增高,谷氨酰转肽酶增高、血清iso-r-GTP、iso-r-GTP、肝炎、肝病科、肿瘤
谷氨酰转肽酶降低,谷氨酰转肽酶降低、血清iso-r-GTP、iso-r-GTP、肝炎、肝病科、肿瘤
豹纹状眼底,豹纹状眼底、头部、眼、眼科、眼底血管样条纹
超重,超重、全身、内分泌科
踝关节痛,踝关节痛、下肢、足、骨科、风湿科、动脉炎、咽峡炎、血管炎、炎性肠病性关节炎相关巩膜炎、韦格纳肉芽肿性巩膜炎、血清尿酸、维生素B1骨与关节MRI、梅毒血清试验、血清抗艾滋病抗体
载脂蛋白A1/载脂蛋白B比值偏低,载脂蛋白A1/载脂蛋白B比值偏低、A1 B、心血管内科、体检保健科、动脉硬化、血脂及脂蛋白
载脂蛋白A1/载脂蛋白B比值偏高,载脂蛋白A1/载脂蛋白B比值偏高、A1 B、心血管内科、体检保健科、肾病综合征、动脉硬化、血脂及脂蛋白
载脂蛋白A1增高,载脂蛋白A1增高、血清ApoA-Ⅰ、ApoA-Ⅰ、肝病科、高脂蛋白血症、家族性混合型高脂血症、高脂蛋白血症Ⅰ型、血脂及脂蛋白
载脂蛋白A1降低,载脂蛋白A1降低、血清ApoA-Ⅰ、ApoA-Ⅰ、肝胆内科、肝炎后肝硬化、淤胆型肝炎、急性无黄疸型肝炎、急性黄疸型肝炎、血脂及脂蛋白
载脂蛋白B增高,载脂蛋白B增高、血清ApoB、ApoB、心血管内科、高脂血症、冠心病、脑梗塞、血脂及脂蛋白
载脂蛋白B降低,载脂蛋白B降低、血清ApoB、ApoB、肝病科、暴发性肝功能衰竭、血脂及脂蛋白
输卵管积水,输卵管积水、女性生殖、输卵管、妇科、中医科、输卵管癌三联症、输卵管结核、副鼻窦炎、原发性输卵管癌、持续性输卵管妊娠、输卵管妊娠、脑囊虫病、垂体性侏儒症、急性卵巢、输卵管自身扭转、颅咽管瘤、发作性睡病、出血性输卵管炎、输卵管粘连、下腹痛、左下腹压痛、输卵管造影诊断、腹腔镜
输尿管囊肿,输尿管囊肿、腰部、输尿管、输尿管囊肿或输尿管膨出、妇科、泌尿外科、排尿不畅、尿流中断、尿路结石
输尿管扩张,输尿管扩张、腰部、输尿管、妇科、泌尿外科、胎儿乙醇综合征、先天性腹壁肌肉发育不良、小儿尿崩症、小儿巨大膀胱-巨大输尿管综合征、小儿先天性肾盂输尿管连接部梗阻
输尿管结石,输尿管结石、腰部、输尿管、泌尿外科、梗阻、感染、低位腰痛、恶心与呕吐、冷汗、面色苍白、腹胀、静脉尿路造影、泌尿系统CT、尿常规
近视,近视、头部、眼、近视、近视眼、眼科、五官科、睑缘炎、真性近视、视物模糊、眼疲劳、看东西有重影、视物变形、主观法、客观法
透明黏性白带,透明黏性白带、女性生殖、阴道、妇科、带下病、子宫内膜结核、慢性盆腔炎、避孕后闭经综合征、盆腔淤血综合征、白带常规、白带
逸搏,逸搏、胸部、心脏、室性自搏心律、室性自身心律、室性自主心律、心血管内科、心内科、心动过缓、胸闷、头晕、乏力、胸痛
重复肾,重复肾、腰部、肾、泌尿外科、肾内科、肾盂炎、肾结石、结核、肿瘤、积水
铁蛋白增高,铁蛋白增高、血液科、体检保健科、早产儿贫血、老年人乳腺癌、老年人原发性肝癌、不安腿综合征、血液病、蛋白质
铁蛋白降低,铁蛋白降低、血液科、体检保健科、缺铁性贫血、老年人缺铁性贫血、妊娠合并缺铁性贫血、血液病、蛋白质
锁骨上窝淋巴结肿大,锁骨上窝淋巴结肿大、胸部、普外科、慢性溃疡
锌测定偏低,锌测定偏低、血清Zn、全科、小儿肠病性肢端皮炎、锌缺乏病、小儿营养不良、骨肉瘤、肝炎肝病、血液病、肿瘤、无机元素
锌测定增高,锌测定增高、血清Zn、全科、溶血性贫血、甲亢、肝炎肝病、血液病、肿瘤、无机元素
长Q-T间期综合征,长Q-T间期综合征、胸部、心脏、长Q-T间期综合症、复极延迟综合征、心血管内科
间接胆红素增高,间接胆红素增高、血液科、肝病、体检保健科、克里格勒-纳贾尔综合征、老年人溶血性贫血、老年人胆石症、成人斯蒂尔病、肝炎肝病、肝病的实验诊断
间接胆红素降低,间接胆红素降低、血液科、肝病、体检保健科、肝炎肝病、肝病的实验诊断
阴囊湿疹,阴囊湿疹、男性生殖、阴囊、绣球风、胞漏疮、男科、皮肤科、慢性阴囊湿疹、阴囊上有白色小疙瘩、阴囊瘙痒、股部内侧靠近阴囊处的皮疹
阴囊肿物,阴囊肿物、男性生殖、阴囊、生殖科
阴茎疣状物,阴茎疣状物、男性生殖、前列腺、生殖科
阴茎肿物,阴茎肿物、男性生殖、前列腺、生殖科
阴道壁膨出,阴道壁膨出、女性生殖、阴道、妇科、张力性尿失禁
阴道横膈,阴道横膈、女性生殖、阴道、妇科、生殖科
阴道炎,阴道炎、女性生殖、阴道、妇科、滴虫性阴道炎、念珠菌性阴道炎、非特异性阴道炎、细菌性阴道炎、老年性阴道炎、幼儿性阴道炎、排尿时外阴灼热、瘙痒或疼痛、白带增多、脓血性白带、绝经后白带增多、阴道干涩、妇科、阴道分泌物、阴道分泌物培养
附件包块,附件包块、女性生殖、卵巢、妇科
附件区占位性病变,附件区占位性病变、女性生殖、卵巢、妇科
附件压痛,附件压痛、女性生殖、卵巢、妇科
附件囊肿,附件囊肿、女性生殖、卵巢、妇产科、腹腔镜、放射学诊断
附件炎,附件炎、女性生殖、卵巢、输卵管炎、卵巢炎、输卵管卵巢炎、妇科、中医科、不孕症、白带增多、下腹疼痛、下腹坠胀、腰骶部酸痛、下腹痛、急性附件炎、慢性附件炎
附睾炎,附睾炎、男性生殖、睾丸、男科、泌尿外科、慢性前、精囊炎、脓性分泌物、睾丸疼痛、血清睾酮浓度低下、附睾结石、附睾肿大发硬、实验室波、磁共振
附睾结节,附睾结节、男性生殖、睾丸、男性科、泌尿外科
隐性骶椎裂,隐性骶椎裂、骨、脊柱、神经外科、骨科
隐睾,隐睾、男性生殖、睾丸、男科、泌尿外科、生育能力下降或不育、先天性腹股沟斜疝、隐睾扭转、隐睾损伤、隐睾恶变、无睾丸、睾丸发育不全、睾丸微小、睾丸萎缩、血睾酮降低、睾酮、染色体、男科计算器体层扫描、(CT)
雌二醇增高,雌二醇增高、血液、尿液雌二醇、E2、妇科、卵泡囊肿、闭经溢乳综合征、卵巢过度刺激综合征、雷凡斯坦综合征、妇科疾病、激素
雌二醇降低,雌二醇降低、血液、尿液雌二醇、E2、妇科、下丘脑综合征、垂体卒中、多毛症、妇科疾病、激素
雷诺综合征,雷诺综合征、雷诺现象、神经内科、内科、失眠症、骨髓炎、多疑、手足厥寒、运动功能障碍、胀痛、容易激动、冷水试验、握拳试验、皮肤紫外线照射实验、手指动脉造影
青光眼,青光眼、头部、眼、绿风内障、眼科、慢性闭角型青光眼、急性闭角型青光眼、视力障碍、虹视、虹膜节段性萎缩、继发性视神经萎缩、视神经的原发性萎缩生物显微镜、共焦激光扫描、定量静态视野、图形视觉诱发电位
静脉血栓,静脉血栓、静脉血栓、血管外科、血栓性浅静脉炎、静脉曲张综合征、静脉血栓、微血栓形成、局部静脉压痛、直腿伸踝试验阳性、门静脉血流郁滞、组织病理
韧带钙化,韧带钙化、骨、关节、骨科
预激综合征,预激综合征、胸部、心脏、预激、WPW综合征、心血管内科、心胸外科、预激综合征、房颤、心动过速、心电图、动态心电图（Holter监测）、心血管疾病的超声诊断
颈动脉内膜增厚,颈动脉内膜增厚、神经内科
颈动脉斑块,颈动脉斑块、心血管内科、中风、高血压、心血管疾病的超声诊断、颈部MRI、颈动脉搏动
颈动脉狭窄,颈动脉狭窄、心血管内科、血管外科、短暂性脑缺血发作、黑蒙、雾视、颈后及肩部皮肤发硬、视力障碍、不能转颈、多普勒-超声、磁共振血管造影血管造影、数字减影血管造影、颈动脉狭窄度的方法
颈动脉血流速度不对称,颈动脉血流速度不对称、心血管外科
颈动脉血流速度减慢,颈动脉血流速度减慢、心血管外科
颈动脉闭塞,颈动脉闭塞、神经内科、永久性失明、Horner征、神经影像学
颈椎病,颈椎病、骨、脊柱、颈椎退行性变、颈椎骨质增生、骨科、神经内科、食管压迫型颈椎病、椎动脉型颈椎病、脊髓型颈椎病、神经根型颈椎病、颈型颈椎病、冠心病、意识障碍、高血压、植物神经紊乱、瘫痪、上肢麻痹、肩背痛、颈椎痛、枕部和颈后疼痛、头颈部活动受限、颈椎的试验、肌电图
颈淋巴结结核,颈淋巴结结核、颈部、颈部、瘰疠、传染科、颈淋巴结炎、淋巴结肿大、皮窦道、结核中毒、心音遥远、结核菌素试验、涂片镜检、组织病理透视或胸片
颈淋巴结肿大,颈淋巴结肿大、颈部、颈部、血液科、肿瘤科
颈肩痛,颈肩痛、上肢、肩部、骨科、外伤科、中医科、麻痹性臂丛神经炎、寰枢椎脱位、伴齿状突骨折的寰枢椎前脱位、枢椎齿突骨折、旋转带肌腱炎、肩部压痛、脊柱MRI、一般摄片、羊水尿酸、蛋白电泳
颈部肿块,颈部肿块、颈部、颈部、肿瘤科、炎性肿块、肿瘤拍片、MRI、核素扫描、喉镜和鼻咽镜、肿块切除活检
颌下淋巴结肿大,颌下淋巴结肿大、头部、口、口腔科、乏力、低热、盗汗、消瘦
额骨骨病,额骨骨病、骨、骨科
颞下颌关节紊乱综合征,颞下颌关节紊乱综合征、头部、口、Costen综合征、口腔科、颌骨关节痛、颞部疼痛、张口困难、张嘴颌骨响
风湿性心脏病,风湿性心脏病、胸部、心脏、风心病、心血管内科、风湿科、胸闷、呼吸困难、咳嗽、乏力、心悸
风疹病毒抗体阳性,风疹病毒抗体阳性、皮肤、血清RuV、RuV、传染科、体检保健科、皮肤病
飞蚊症,飞蚊症、头部、眼、眼科、老年科、近视眼、后发性白内障、辐射性白内障、中毒性白内障、代谢性白内障、眼球异物定位摄影、眼科、眼底、眼底荧光血管造影、眼功能
餐后血糖偏高,餐后血糖偏高、心血管内科、血液科、糖尿病、慢性胰腺炎、甲亢、心肌梗塞并发二尖瓣关闭不全、糖尿病、甲状腺功能、肝炎肝病、糖及其代谢物
骨瘤,骨瘤、骨、骨旁骨瘤、骨外骨瘤、Garder综合征、肿瘤科、骨科、癫痫、头晕、头痛、头颅平片、眼及眶区CT
骨质增生,骨质增生、骨、增生性骨关节炎、退变性关节病、老年性关节炎、肥大性关节炎、骨科、中医科、滑液、关节镜平片
骨质疏松,骨质疏松、骨、骨质疏松症、骨科、中医科、骨折
骨量减少,骨量减少、骨、骨科
骶椎腰化,骶椎腰化、骨、脊柱、骨科、中医科、移行脊椎
髌骨软化症,髌骨软化症、下肢、膝部、髌骨软骨软化症、髌骨软骨炎、骨科、半月板损伤、髌下疼痛、髌后疼痛、髌骨软化、半蹲试验、四肢的骨和关节平片、浮髌试验
髓过氧化物酶MPO增高,髓过氧化物酶MPO增高、过氧化物酶、MPO、心血管内科、心内科、冠心病
高血压,高血压、高血压病、风眩、心血管内科、心胸外科、视网膜病变、主动脉瓣关闭不全、高血压危象、动脉瘤、主动脉夹层、瘫痪、心脏病、心力衰竭、头晕、视力障碍、心功能失代偿、剧烈头痛、氮质血症、了解自己血压变化动态、眼底、肾功能、血液、尿液、心电图动态血压监测
高血压病视网膜病变,高血压病视网膜病变、心血管内科、眼科、视力障碍、血压高、视网膜水肿、视网膜Roth斑、视网膜出血
高血脂,高血脂、高脂血症、高脂蛋白血症、心血管内科、头晕、失眠、健忘、手足麻木、高碳酸血症
鳞状上皮炎症反应性改变,鳞状上皮炎症反应性改变、皮肤、皮肤科、内科、肿瘤科、皮肤性病、喉炎、外阴假上皮瘤样增生、甲状舌骨囊肿与瘘
鳞状细胞癌抗原增高,鳞状细胞癌抗原增高、血清鳞状上皮细胞癌相关抗原、血清SCC、皮肤科、内科、肿瘤科、皮肤性病、宫颈浸润癌、妇科疾病、肿瘤、肿瘤相关抗原
黄斑病变,黄斑病变、头部、眼、眼科、视力障碍、眼科、直接检眼镜法、视网膜检影法
鼓膜穿孔,鼓膜穿孔、头部、耳、鼓膜穿孔、耳鼻喉科、儿科、耳聋、慢性化脓性中耳炎、急性化脓性中耳炎、鼓膜外伤、粘连性中耳炎、气压创伤性中耳炎、分泌性中耳炎、爆震性耳聋、耳痛、耳鼓膜穿孔、耳鼓膜破裂、鼓膜充血、神经性耳聋、电测听、耳部
鼻中隔偏曲,鼻中隔偏曲、头部、鼻、耳鼻喉科、普外科、鼻中隔穿孔、鼻中隔血肿、鼻中隔脓肿、鼻梁下塌、颅内并发症、鼻塞及反射性头痛、头痛、鼻塞、鼻中隔向一侧或两则弯曲、鼻衄、前鼻镜、鼻内镜、鼻窦CT扫描
鼻前庭炎,鼻前庭炎、头部、鼻、鼻前庭皮肤弥漫性炎症、鼻疳、耳鼻喉科、海绵窦血栓、急性蜂窝组织炎、鼻前庭皮肤红肿疼痛、鼻前庭部发痒、鼻腔干燥及结痂、鼻毛脱落、前庭功能、鼻腔内镜、鼻前庭
鼻息肉,鼻息肉、头部、鼻、鼻痔、耳鼻喉科、普外科、破坏鼻窦窦壁或鼻腔顶壁、头痛、息肉、蛙状鼻、鼻内似有擤不出的鼻涕、鼻塞、鼻内窥镜
鼻炎,鼻炎、头部、鼻、耳鼻喉科、小儿过敏性鼻炎、慢性鼻炎、常年性鼻炎、血管运动性鼻炎、嗜酸细胞增多性非变态反应性鼻炎、过强反射性鼻炎、干酪性鼻炎、过敏性鼻炎、慢性单纯性鼻炎、慢性肥厚性鼻炎、慢性干燥性鼻炎、萎缩性鼻炎、持续性咳嗽、鼻痒、鼻塞、鼻粘膜肿胀、鼻粘膜苍白水肿、前鼻镜鼻泪管造影、鼻分泌物
鼻甲肥大,鼻甲肥大、头部、鼻、耳鼻喉科、鼻窦炎、慢性扁桃体炎、咽喉炎
鼻窦炎,鼻窦炎、头部、鼻、鼻渊、鼻炎、耳鼻喉科、球后视神经炎、鼻炎、神经炎、上颌窦炎、鼻窦压痛、带血粘脓鼻涕、脓鼻涕增多且不易擤尽、咽鼓管堵塞、鼻内镜、体位引流鼻窦摄片、鼻窦CT
鼻黏膜出血,鼻黏膜出血、头部、鼻、耳鼻喉科
龋齿,龋齿、头部、口、烂牙、龋病、虫牙、蛀牙、口腔科、根尖周病、牙髓炎、骨炎、牙齿颜色异常、牙齿遇冷热痛、牙根外露、牙齿异常、牙齿萌出疼痛、口腔
